Address,deals2,Tenant,Landlord,Borough,Size,deals7,deals8,Neighborhood,Event Date,Tenant Rep. Agent,Landlord Rep. Agent,Event,Publication Date,Tenant Rep. Firm,Landlord Rep. Firm,,,
153 Seventh Avenue,,Duane Reade,20th & Seventh Associates,Manhattan,10685,,,Chelsea,11/22/2011,Ann La Centra,,Retail Leasing,01/01/2012,Winick Realty Group,,,,
1250 Broadway,,Gaonuri,"Murray Hill Properties, Jamestown",Manhattan,10000,,,Garment District,11/22/2011,Brad Siderow,,Retail Leasing,01/01/2012,Siderow Organization,,,,
382 West Broadway,,Erno Laszlo Institute,"Kamran Hakim, Henry Hay",Manhattan,10000,,,Soho,11/22/2011,"Faith Hope Consolo, Joseph Aquino","Faith Hope Consolo, Joseph Aquino",Retail Leasing,01/01/2012,Douglas Elliman,Douglas Elliman,,,
1211 Sixth Avenue,,News Corporation,Beacon Capital Partners,Manhattan,9000,,,Times Square,11/22/2011,"Mary Ann Tighe, Kenneth Rapp, Timothy Dempsey","Joshua Kuriloff, Gene Spiegelman, David Tricarico, Mitchell Arkin",Retail Leasing,01/01/2012,CBRE,Cushman & Wakefield,,,
250 Park Avenue,,People's United Bank,,Manhattan,7241,,,Grand Central,11/22/2011,"Richad Bernstein, Eric Thomas, Ralph Giordano","David Hoffman, Robert Billingsley, Wendy Miller",Retail Leasing,01/01/2012,Cassidy Turley,Cassidy Turley,,,
10 Union Square East,,Panera Bread Company,W&H Properties,Manhattan,4556,,,Gramercy Park,11/22/2011,Andrew Mandell,,Retail Leasing,01/01/2012,Ripco Real Estate,In-house,,,
453 Broome Street,,Suit Supply,,Manhattan,4200,,,Soho,11/22/2011,,,Retail Leasing,01/01/2012,Maverik Group LLC,Maverick Capital Partners,,,
391 Sixth Avenue,,Onegin,Walter & Samuels,Manhattan,3360,,,West Village,11/22/2011,Tatiana Jung-Voevodina,Jud Ebersman,Retail Leasing,01/01/2012,Winick Realty Group,Walter & Samuels,,,
206 East 58th Street,,Land of Plenty,Private investor,Manhattan,3000,,,Midtown East,11/22/2011,David Hantman,,Retail Leasing,01/01/2012,New York Commercial Real Estate Services,,,,
213 West 40th Street,,Hale & Hearty,Future 40th Street Realty,Manhattan,2800,,,Times Square,11/22/2011,"Matthew Gorman, Joshua Gettler","Mark Tergesen, Dean Valentino",Retail Leasing,01/01/2012,New Street Realty Advisors,ABS Partners Real Estate,,,
191 Chrystie Street,,Experimental Cocktail New York,Steven Kamali Hospitality,Manhattan,2750,,,Lower East Side,11/22/2011,,"David Baker, Julie Louzon",Retail Leasing,01/01/2012,,Isaacs & Company,,,
411 West 39th Street,,Mark Fisher Fitness,BKR Realty Corporation,Manhattan,2730,,,Hudson Yards,11/22/2011,"Chris Halliburton, Brandon Himmel",Barbara Stone,Retail Leasing,01/01/2012,"DHS Development Corporation, City Connections Realty",Corcoran Group,,,
555 West 42nd Street,,7-Eleven,Massachusetts Life Insurance Company,Manhattan,2645,,,Clinton,11/22/2011,"Greg Covey, Ariel Schuster","Matthew Gorman, Joshua Gettler",Retail Leasing,01/01/2012,RKF,New Street Realty Advisors,,,
1400 Fifth Avenue,,Physical Therapy of Harlem LLP,1400 Fifth Commercial,Manhattan,2617,,,Central Harlem,11/22/2011,Jonathan Krivine,"Matthew Gorman, Joshua Gettler",Retail Leasing,01/01/2012,Newmark Grubb Knight Frank,New Street Realty Advisors,,,
4261 Broadway,,Envy Corporation,BLDG Management,Manhattan,2500,,,Washington Heights,11/22/2011,Barry Fields,Barry Fields,Retail Leasing,01/01/2012,City Connections Realty,City Connections Realty,,,
350 Hudson Street,,Hale & Hearty,Trinity Real Estate,Manhattan,2400,,,Soho,11/22/2011,"Joshua Gettler, Matthew Gorman",,Retail Leasing,01/01/2012,New Street Realty Advisors,In-house,,,
244 East 51st Street,,Karizma Lounge,Leo Fox,Manhattan,2400,,,Midtown East,11/22/2011,"Helen Demetrious, Ina Donath",Shelly Snyder,Retail Leasing,01/01/2012,New York Commercial Real Estate Services,Coldwell Banker,,,
2284 Broadway,,Hale & Hearty,Time Equities,Manhattan,2056,,,Upper West Side,11/22/2011,"Joshua Gettler, Matthew Gorman",,Retail Leasing,01/01/2012,New Street Realty Advisors,In-house,,,
772 Madison Avenue,,Oscar de la Renta,Walter & Samuels,Manhattan,2000,,,Lenox Hill,11/22/2011,Jud Ebersman,Jud Ebersman,Retail Leasing,01/01/2012,Walter & Samuels,Walter & Samuels,,,
157 East 33rd Street,,S'Mac,,Manhattan,1900,,,Kips Bay,11/22/2011,,Eric Roth,Retail Leasing,01/01/2012,,ECR Realty,,,
27 Prince Street,,,Private investor,Manhattan,1500,,,Nolita,11/22/2011,James Famularo,James Famularo,Retail Leasing,01/01/2012,New York Commercial Real Estate Services,New York Commercial Real Estate Services,,,
27 Prince Street,,Mt. Sapola,Private investor,Manhattan,1200,,,Nolita,11/22/2011,"James Famularo, Bertrand De Soultrait",James Famularo,Retail Leasing,01/01/2012,New York Commercial Real Estate Services,New York Commercial Real Estate Services,,,
427 Seventh Avenue,,NYC Gifts,DK China,Manhattan,1200,,,Penn Plaza,11/22/2011,Solomon Fallas,Solomon Fallas,Retail Leasing,01/01/2012,SolCo,SolCo,,,
555 West 42nd Street,,Subway,Massachusetts Life Insurance Company,Manhattan,1200,,,Clinton,11/22/2011,,"Joshua Gettler, Matthew Gorman",Retail Leasing,01/01/2012,,New Street Realty Advisors,,,
1357 Second Avenue,,Kolb Art,Walter & Samuels,Manhattan,1200,,,Lenox Hill,11/22/2011,"Jud Ebersman, John Antrim-Cashin","Jud Ebersman, John Antrim-Cashin",Retail Leasing,01/01/2012,Walter & Samuels,Walter & Samuels,,,
1988 Amsterdam Avenue,,Health Rite Pharmacy,Amsterdam,Manhattan,1200,,,Washington Heights,11/22/2011,"Michael Esposito, Ryan Bergman",,Retail Leasing,01/01/2012,NY Retail Group,NY Retail,,,
1381 Sixth Avenue,,City Souvenirs,ACHS Management,Manhattan,1100,,,Midtown West,11/22/2011,Solomon Fallas,Solomon Fallas,Retail Leasing,01/01/2012,SolCo,SolCo,,,
1357 Second Avenue,,Sharkey's Cuts for Kids,Walter & Samuels,Manhattan,1000,,,Lenox Hill,11/22/2011,Jud Ebersman,Jud Ebersman,Retail Leasing,01/01/2012,Walter & Samuels,Walter & Samuels,,,
229 First Avenue,,Baobeque,Private investor,Manhattan,1000,,,East Village,11/22/2011,"Ken Brandman, James Famularo","Ken Brandman, James Famularo",Retail Leasing,01/01/2012,New York Commercial Real Estate Services,New York Commercial Real Estate Services,,,
30 East 13th Street,,Pocket Foods,Double M K Realty,Manhattan,1000,,,Greenwich Village,11/22/2011,Kelly Gedinsky,"Joseph Isa, Jordan Spiegelman",Retail Leasing,01/01/2012,Winick Realty Group,Winick Realty Group,,,
741 Broadway,,LiSi Cosmetics,Algin Management,Manhattan,950,,,Greenwich Village,11/22/2011,Harold Sherr,"Ann La Centra, Jordan Spiegelman",Retail Leasing,01/01/2012,HSRE,Winick Realty Group,,,
8 Prince Street,,Maje,Mel Lev,Manhattan,950,,,Nolita,11/22/2011,"David Baker, Julie Louzon",,Retail Leasing,01/01/2012,Isaacs & Company,,,,
219 East 23rd Street,,,Private investor,Manhattan,900,,,Kips Bay,11/22/2011,"G. Thomas, Allan Gallaway",Ken Brandman,Retail Leasing,01/01/2012,DJK Residential,New York Commercial Real Estate Services,,,
461 Amsterdam Avenue,,Organic Avenue,,Manhattan,900,,,Upper West Side,11/22/2011,,,Retail Leasing,01/01/2012,,,,,
694 Madison Avenue,,Fabergé,Ardalan Lahijani,Manhattan,850,,,Lenox Hill,11/22/2011,"Beth Rosen, Zachary Beloff",,Retail Leasing,01/01/2012,RKF,In-house,,,
254 Park Avenue South,,Crumbs,254 PAS Property,Manhattan,1275,,,Flatiron,09/22/2011,Jeffrey Roseman,"Brad Cohen, Patricia Garcia",Retail Leasing,11/01/2011,Newmark Grubb Knight Frank,Ripco Real Estate,,,
455 Park Avenue South,,Energy Kitchen,Farbod Realty Corporation,Manhattan,1230,,,Flatiron,09/22/2011,Brad Cohen,"David LaPierre, Sean Moran",Retail Leasing,11/01/2011,Ripco Real Estate,CBRE,,,
395 Amsterdam Avenue,,Classic Kids Photography,172 West 70th,Manhattan,1200,,,Upper West Side,09/22/2011,,"Jason Pennington, Brad Cohen, Zachary Nathan",Retail Leasing,11/01/2011,Walker Malloy & Company,Ripco Real Estate,,,
2310 Adam Clayton Powell Boulevard,,BR Wireless 2324,AIMCO,Manhattan,915,,,Central Harlem,09/22/2011,,"Henry Goldfarb, Stanley Lindenfeld",Retail Leasing,11/01/2011,,Grubb & Ellis,,,
412 East 9th Street,,8th Street Wine Cellar,North River Investment Company,Manhattan,810,,,East Village,09/22/2011,"Josh Bowling, James Costello","Josh Bowling, James Costello",Retail Leasing,11/01/2011,Sinvin Real Estate,Sinvin Real Estate,,,
198 Spring Street,,Volang,LF East 21 Property Company,Manhattan,550,,,Soho,09/22/2011,"Christopher Owles, Kristin McCann","Christopher Owles, Kristin McCann",Retail Leasing,11/01/2011,Sinvin Real Estate,Sinvin Real Estate,,,
116 Madison Avenue,,Sean,,Manhattan,479,,,NoMad,09/22/2011,"Christopher Owles, Kristin McCann",Jud Ebersman,Retail Leasing,11/01/2011,Sinvin Real Estate,Walter & Samuels,,,
259 Bleecker Street,,Three Monkeys Eyewear,259 Bleecker,Manhattan,475,,,West Village,09/22/2011,"Christopher Owles, Sarah Shannon",Steve Rappaport,Retail Leasing,11/01/2011,Sinvin Real Estate,Sinvin Real Estate,,,
535 Hudson Street,,Doughboy Bakery,,Manhattan,450,,,West Village,09/22/2011,Steve Rappaport,Marisa Almeida-Lecki,Retail Leasing,11/01/2011,Sinvin Real Estate,CSCommercial Group,,,
116 McDougal Street,,Lucky 777 Chili Company,MacDougal Associates,Manhattan,400,,,West Village,09/22/2011,,Jeffrey Angel,Retail Leasing,11/01/2011,,RES Commercial,,,
436 West Broadway,,Robert Marc Eyewear,436 Realty,Manhattan,400,,,Soho,09/22/2011,,Christopher Owles,Retail Leasing,11/01/2011,Isaacs & Company,Sinvin Real Estate,,,
829 Second Avenue,,Perfect Brows,Olympia House,Manhattan,350,,,Grand Central,09/22/2011,Joshua Singer,Annie Shinn,Retail Leasing,11/01/2011,Winick Realty Group,Winick Realty Group,,,
River Avenue and Exterior Street,,Burlington Coat Factory,Related Companies,Bronx,74000,,,Midtown,09/17/2011,Cliff Simon,"Peter Ripka, John Rettaliata",Retail Leasing,11/01/2011,Cliff Simon,Ripco Real Estate,,,
1750 East Gunhill Road,,Spirit Halloween,Duane Reade,Bronx,8828,,,Pelham Gardens,09/17/2011,Alex Hill,Ann La Centra,Retail Leasing,11/01/2011,,Winick Realty Group,,,
60 East 42nd Street,,Pantries,W&H Properties,Manhattan,5125,,,Midtown,09/17/2011,Harvey Shaw,"Amira Yunis, Jared Lack",Retail Leasing,11/01/2011,,,,,
4 Flatbush Avenue,,TD Bank,Flatbush-Fulton Realty Associates,Brooklyn,4100,,,Downtown Brooklyn,09/17/2011,"Richard Senior, Isaac Shabot","Richard Senior, Isaac Shabot",Retail Leasing,11/01/2011,,Ripco Real Esate,,,
39-09 Main Street,,AT&T,Pi Associates LLC,Queens,4000,,,Flushing,09/17/2011,"Steven Baker, Steven Weissmann",,Retail Leasing,11/01/2011,,Represented in-house,,,
343 Gold Street,,Building on Bond,Avalon Bay Communities,Brooklyn,1950,,,Downtown Brooklyn,09/17/2011,,"Jason Pennington, Brad Cohen",Retail Leasing,11/01/2011,,"Ripco Real Estate, Extell Development",,,
3638 Bailey Avenue,,C.A.C. Industries,Estate of Salvator Sciandra,Bronx,1300,,,Kingsbridge,09/17/2011,"Michael Esposito, Ryan Bergman",,Retail Leasing,11/01/2011,,NY Retail Group,,,
164-12 Jamaica Avenue,,Georgina Jewelry,Jamaica Avenue Realty Associates,Queens,1200,,,Jamaica,09/17/2011,Isaac Arzt,,Retail Leasing,11/01/2011,,,,,
3620 Bailey Avenue,,Nunez Signs and Awning,Estate of Salvator Sciandra,Bronx,850,,,Kingsbridge,09/17/2011,"Michael Esposito, Ryan Bergman",,Retail Leasing,11/01/2011,,NY Retail Group,,,
529 Marcy Avenue,,Bandar Kassim,New-Hab Housing Development Fund Corporation,Brooklyn,474,,,Bedford-Stuyvesant,09/17/2011,,,Retail Leasing,11/01/2011,M.C. O'Brien,M.C. O'Brien,,,
856 Nostrand Avenue,,Mobile Trendz IV,New-Hab Housing Development Fund Corporation,Brooklyn,461,,,Crown Heights,09/17/2011,,,Retail Leasing,11/01/2011,M.C. O'Brien,M.C. O'Brien,,,
1225 Madison Avenue,,Malia Mills,,Manhattan,1250,,,Carnegie Hill,09/15/2011,,"Joseph Aquino, Faith Hope Consolo",Retail Leasing,10/25/2011,,Douglas Elliman,,,
810 Madison Avenue,,Buccellati Inc.,,Manhattan,2150,,,Lenox Hill,09/03/2011,,"Joseph Aquino, Faith Hope Consolo",Retail Leasing,10/13/2011,,Douglas Elliman,,,
350 Fifth Avenue,,Walgreens,W&H Properties,Manhattan,18818,,,Garment District,08/22/2011,,"Andrew Goldberg, Eric Gelber, Matthew Chmielecki",Retail Leasing,10/01/2011,,CBRE,,,
1270 Broadway,,Duane Reade,CAN Cornerstone,Manhattan,14156,,,Garment District,08/22/2011,Young Byunn,Young Byunn,Retail Leasing,10/01/2011,Winick Realty Group,Winick Realty Group,,,
575 Lexington Avenue,,Duane Reade,575 Lexington AvenueAcquisitions,Manhattan,11717,,,Plaza District,08/22/2011,Ann La Centra,Jedd Nero,Retail Leasing,10/01/2011,Winick Realty Group,CBRE,,,
321 West 51st Street,,Ippudo,Rene Pujol,Manhattan,9000,,,Midtown West,08/22/2011,Max Dylan Lu,Aaron Gavios,Retail Leasing,10/01/2011,New Street Realty Advisors,Square Foot Realty,,,
1467 First Avenue,,Duane Reade,Ran First Associates,Manhattan,8818,,,Lenox Hill,08/22/2011,Ann La Centra,,Retail Leasing,10/01/2011,Winick Realty Group,,,,
54 Crosby Street,,,PEP Real Estate,Manhattan,8000,,,Soho,08/22/2011,,James Famularo,Retail Leasing,10/01/2011,Lansco,New York Commercial Real Estate Services,,,
761 Broadway,,Duane Reade,Uniway Partners,Manhattan,7550,,,Greenwich Village,08/22/2011,Ann La Centra,Bruce Spiegel,Retail Leasing,10/01/2011,Winick Realty Group,Rose Associates,,,
110 Ridge Street,,,Private investor,Manhattan,7000,,,Lower East Side,08/22/2011,James Famularo,James Famularo,Retail Leasing,10/01/2011,New York Commercial Real Estate Services,New York Commercial Real Estate Services,,,
300 West 57th Street,,Sur La Table,Hearst Corporation,Manhattan,6174,,,Midtown West,08/22/2011,Steve Bartha,"Lou Nowikas, David LaPierre, Richard Hodos, Stephen Sjurset",Retail Leasing,10/01/2011,S.J. Bartha Consulting Group,"Hearst, CBRE",,,
3 Park Avenue,,Le Pain Quotidien,Cohen Brothers Realty,Manhattan,6050,,,Kips Bay,08/22/2011,"Amira Yunis, Jared Lack","Brad Mendelson, Christopher Scwartz",Retail Leasing,10/01/2011,Newmark Grubb Knight Frank,Cushman & Wakefield,,,
1354 Lexington Avenue,,Duane Reade,1354 Lexington Owner,Manhattan,6000,,,Carnegie Hill,08/22/2011,Ann La Centra,,Retail Leasing,10/01/2011,Winick Realty Group,,,,
590 Fifth Avenue,,National Basketball Association,Thor Equities,Manhattan,6000,,,Plaza District,08/22/2011,,,Retail Leasing,10/01/2011,,,,,
100 Church Street,,Aroma Espresso Bar,SL Green Realty,Manhattan,4443,,,Tribeca,08/22/2011,David Latman,"Ariel Schuster, Michael Worthman, Ross Berkowitz, Lawrence Swiger",Retail Leasing,10/01/2011,DLL Real Estate,"RKF, SL Green Realty",,,
535 Madison Avenue,,IWC Shaffhausen,Park Tower Group,Manhattan,4100,,,Plaza District,08/22/2011,,,Retail Leasing,10/01/2011,,,,,
691 Broadway,,Spencer Gifts,Mercer Square,Manhattan,3695,,,Greenwich Village,08/22/2011,Michael Gleicher,Michael Gleicher,Retail Leasing,10/01/2011,Winick Realty Group,Winick Realty Group,,,
250 Hudson Street,,Hyper Island,Jack Resnick & Sons,Manhattan,3100,,,Soho,08/22/2011,,,Retail Leasing,10/01/2011,,,,,
10 Downing Street,,Emigrant Bank,Stonehenge Partners,Manhattan,3070,,,West Village,08/22/2011,Gere Ricker,"Amira Yunis, Jared Lack",Retail Leasing,10/01/2011,Milstein Brothers Real Estate,Newmark Grubb Knight Frank,,,
10 Downing Street,,Bahri Steakhouse,Stonehenge Partners,Manhattan,3000,,,West Village,08/22/2011,,"Amira Yunis, Jared Lack",Retail Leasing,10/01/2011,,Newmark Grubb Knight Frank,,,
100 Church Street,,Pret A Manger,SL Green Realty,Manhattan,2548,,,Tribeca,08/22/2011,"Jeffrey Roseman, Benjamin Birnbaum","Ariel Schuster, Michael Worthman, Ross Berkowitz, Lawrence Swiger",Retail Leasing,10/01/2011,Newmark Grubb Knight Frank,"RKF, SL Green Realty",,,
100 Church Street,,The Anne Frank Center,SL Green Realty,Manhattan,2500,,,Tribeca,08/22/2011,Suzanne Sunshine,"Ariel Schuster, Michael Worthman, Ross Berkowitz, Lawrence Swiger",Retail Leasing,10/01/2011,S. Sunshine & Associates,"RKF, SL Green Realty",,,
180 East 86th Street,,L'Occitane,Charles H. Greenthal & Company,Manhattan,2500,,,Upper East Side,08/22/2011,Chris DeCrosta,,Retail Leasing,10/01/2011,Thor Equities,,,,
170 Fifth Avenue,,L'Occitane,,Manhattan,2500,,,Flatiron,08/22/2011,Chris DeCrosta,Michael Blum,Retail Leasing,10/01/2011,Thor Equities,CBRE,,,
150 East 44th Street,,Potbelly,,Manhattan,2462,,,Grand Central,08/22/2011,"Jeffrey Roseman, Marc Frankel, Benjamin Birnbaum","Bruce Spiegel, William Bergman",Retail Leasing,10/01/2011,Newmark Grubb Knight Frank,Rose Associates,,,
1142 Third Avenue,,UNIQLO,,Manhattan,2000,,,Lenox Hill,08/22/2011,,"Faith Hope Consolo, Joseph Aquino",Retail Leasing,10/01/2011,Lansco,Douglas Elliman,,,
807 Washington Street,,Nicholas Kirkwood,Romanoff Equities,Manhattan,1572,,,West Village,08/22/2011,"Joshua Strauss, Zachary Beloff",,Retail Leasing,10/01/2011,RKF,In-house,,,
13 Laight Street,,,,Manhattan,1200,,,Tribeca,08/22/2011,Kathleen Perkins,Chris Guzzello,Retail Leasing,10/01/2011,New York Commercial Real Estate Services,Sinvin Real Estate,,,
504 LaGuardia Place,,,,Manhattan,1200,,,Greenwich Village,08/22/2011,Kathleen Perkins,Chris Guzzello,Retail Leasing,10/01/2011,New York Commercial Real Estate Services,Sinvin Real Estate,,,
424 East 9th Street,,,Croman Real Estate,Manhattan,1200,,,East Village,08/22/2011,"Ken Brandman, James Famularo",Ken Brandman,Retail Leasing,10/01/2011,New York Commercial Real Estate Services,New York Commercial Real Estate Services,,,
1350 Broadway,,Starbucks,W&H Properties,Manhattan,1189,,,Garment District,08/22/2011,David Firestein,"Andrew Goldberg, Eric Gelber, Matthew Chmielecki",Retail Leasing,10/01/2011,Northwest Atlantic Real Estate Services,CBRE,,,
229 First Avenue,,,Croman Real Estate,Manhattan,1000,,,East Village,08/22/2011,Ken Brandman,,Retail Leasing,10/01/2011,James Famularo,In-house,,,
75 Nassau Street,,,Century 21 Realty,Manhattan,1000,,,Financial District,08/22/2011,"Ken Brandman, James Famularo",,Retail Leasing,10/01/2011,New York Commercial Real Estate Services,In-house,,,
367 Seventh Avenue,,Young J. Rhoyu,"Arthur W. Grieg, Receiver",Manhattan,1000,,,Penn Plaza,08/22/2011,Jon Linek,"Elliott Dweck, Matthew Mager",Retail Leasing,10/01/2011,Manhattan Commercial Realty,Besen & Associates,,,
48 Ninth Avenue,,L'Occitane,Chelsea/Village Associates,Manhattan,1000,,,Chelsea,08/22/2011,Chris DeCrosta,,Retail Leasing,10/01/2011,Thor Equities,,,,
10 Downing Street,,Artsee,Stonehenge Partners,Manhattan,850,,,West Village,08/22/2011,Anita Grossberg,"Amira Yunis, Jared Lack",Retail Leasing,10/01/2011,Douglas Elliman,Newmark Grubb Knight Frank,,,
942 Amsterdam Avenue,,La Toulousaine Boulangerie Pastisserie Café,940 Amsterdam Corporation,Manhattan,840,,,Upper West Side,08/22/2011,David Chkheidze,David Chkheidze,Retail Leasing,10/01/2011,Massey Knakal Realty Services,Massey Knakal Realty Services,,,
435 East 9th Street,,Sierra Vintage LLC,Benchmark Real Estate Group,Manhattan,800,,,East Village,08/22/2011,Steven Jacobson,,Retail Leasing,10/01/2011,Hopkinson Associates,In-house,,,
227 Mott Street,,,Private investor,Manhattan,750,,,Nolita,08/22/2011,Kathleen Perkins,"Kathleen Perkins, Ken Brandman",Retail Leasing,10/01/2011,New York Commercial Real Estate Services,New York Commercial Real Estate Services,,,
60 West 8th Street,,GiGiK NY,,Manhattan,700,,,Greenwich Village,08/22/2011,,Annie Yao,Retail Leasing,10/01/2011,,Buchbinder & Warren,,,
1045 Lexington Avenue,,Joe the Art of Coffee,Solil Management,Manhattan,650,,,Upper East Side,08/22/2011,Alexandra Turboff,,Retail Leasing,10/01/2011,Branded Concept Development,In-house,,,
4865 Broadway,,Mary Kay Cosmetics,Parkoff Organization,Manhattan,512,,,Inwood,08/22/2011,Elliott Dweck,Matthew Mager,Retail Leasing,10/01/2011,Besen & Associates,Besen & Associates,,,
780 Madison Avenue,,Lana Marks,,Manhattan,500,,,Lenox Hill,08/22/2011,Stuart Ellman,Gary Dana,Retail Leasing,10/01/2011,Judson Realty,Douglas Elliman,,,
561 Columbus Avenue,,Momofuku Milk Bar,67 West 87th Street Housing Development Corporation,Manhattan,460,,,Upper West Side,08/22/2011,,"Joseph Isa, Brian Tregerman",Retail Leasing,10/01/2011,Mark Tergesen Real Estate,Winick Realty Group,,,
253 East 78th Street,,Yoko Fashions,GBL 78th Street,Manhattan,400,,,Lenox Hill,08/22/2011,,Jill Lovatt,Retail Leasing,10/01/2011,,Massey Knakal Realty Services,,,
148 West 28th Street,,,Private investor,Manhattan,400,,,Chelsea,08/22/2011,Allan Hasty,,Retail Leasing,10/01/2011,New York Commercial Real Estate Services,Citi Habitats,,,
4869 Broadway,,Megam Check Cashing,Parkoff Organization,Manhattan,400,,,Inwood,08/22/2011,Elliott Dweck,Matthew Mager,Retail Leasing,10/01/2011,Besen & Associates,Besen & Associates,,,
504 East 12th Street,,,Magnum Real Estate Group,Manhattan,400,,,East Village,08/22/2011,Ken Brandman,Ken Brandman,Retail Leasing,10/01/2011,New York Commercial Real Estate Services,New York Commercial Real Estate Services,,,
75 Orchard Street,,Carlos Campos,Dermot Company,Manhattan,358,,,Lower East Side,08/22/2011,Farokh Ben Hakimian,"Elliott Dweck, Matthew Mager",Retail Leasing,10/01/2011,Besen & Associates,Besen & Associates,,,
386 Canal Street,,Roll N' Go,Canal Funding,Manhattan,300,,,Tribeca,08/22/2011,"Tatiana Voevodina-Jung, Richard Smith","Richard Smith, Tatiana Voevodina-Jung",Retail Leasing,10/01/2011,Winick Realty Group,Winick Realty Group,,,
490 Fulton Street,,Express,"Crown Acquisitions, Perella Weinberg Partners",Brooklyn,10000,,,Battery Park City,08/17/2011,,,Retail Leasing,10/01/2011,,,,,
412 Knickerbocker Avenue,,Quick Cash,Rochells Youth Center Inc.,Brooklyn,7500,,,Bushwick,08/17/2011,Mary Jo Spina,"Elliott Dweck, Matthew Mager",Retail Leasing,10/01/2011,,,,,
